rank|status|study|conditions|interventions|study_type|phase|funder_type|outcome_measures|number_enrolled|nct_number|start_date
1604|Completed                  Has Results|Bevacizumab Plus Irinotecan Plus Carboplatin for Recurrent Malignant Glioma (MG)||Drug:bevacizumabandCPT-11andCarboplatin|Interventional|Phase 2|Other|6MonthProgression-freeSurvival;  ObjectiveResponseRate;  MedianProgressionFreeSurvival(PFS);  MedianOverallSurvival(OS);  Safety of Bevacizumab (Avastin) in Combination With Irinotecan and Carboplatin|104|NCT00953121|September 2009
1605|Completed|Study to Assess dHER2+AS15 Cancer Vaccine Given in Combination With Lapatinib to Patients With Metastatic Breast Cancer||Biological:dHER2+AS15ASCI;  Drug:Lapatinib|Interventional|Phase 1 / Phase 2|Other / Industry|The safety of dHER2+AS15 ASCI when administered in combination with Lapatinib measured by dose limiting toxicity.;  The specific humoral and cellular immune response induced by the dHER2+AS15 ASCI upon co-administration of Lapatinib|12|NCT00952692|July 2009
1606|Completed                  Has Results|A Study of a Sustained Release Fluocinolone Implant for Treatment of Central Retinal Vein Occlusion||Device: fluocinolone acetonide (Retisert Implant Bausch and Lomb)|Interventional||Other / Industry|Change From Baseline in Visual Acuity Using Early Treatment Diabetic Retinopathy Study (ETDRS) Charts;  Improvement in Macular Edema on Optical Coherence Tomography and Color Photos|29|NCT00952614|October 2002
1607|Completed|Targeted Feedback Reports to Improve Acute Coronary Syndromes (ACS) Care||Behavioral:TargetedFeedbackReports;  Behavioral:TargetedFeedbackReport|Interventional||Other / U.S. Fed|The primary outcome is improvement in the overall composite of all metrics eligible for intervention regardless of their selection as targets.;  The secondary outcome is improvement in the composite of targeted metrics.|149|NCT00952250|February 2009
1608|Completed                  Has Results|Safety and Efficacy Study of Duet TRS||Device:DuetTRS|Interventional||Industry|IncidenceofAdverseEvents.;  OperatingRoom(OR)Time;  LengthofHospitalStay;  IncidenceofStapler&apos;Misfires&apos;|29|NCT00950872|November 2009
1609|Terminated                  Has Results|Motorized Continuous Cold Therapy Versus Standard Post-op Icing Protocol for Two Foot and Ankle Procedures||Device:Iceman&#174;ColdTherapyunit(djOrtho);  Other:Ice|Interventional|Phase 4|Other / Industry|VisualAnalogScale(VAS)PainScores;  NarcoticPainMedicationUsage;  PatientSatisfaction;  SurgicalComplications;  PostoperativeComplications|36|NCT00950183|February 2007
1610|Completed|Chronic Insertional Achilles Tendonitis Treated With or Without Flexor Hallucis Longus Tendon Transfer||Procedure:Achillesdecompression&amp;debridement;  Procedure: Achilles decompression and debridement with FHL transfer|Interventional|Phase 4|Other|ankle plantar flexion strength measured using a handheld dynamometer;  American Orthopaedic Foot and Ankle Society(AOFAS) Ankle-Hindfoot score;  Visualanalogpainscale(VAS);  Hallux plantarflexion strength using the dynamometer;  PatientSatisfaction;  Surgicalcomplications;  Postoperativecomplications|52|NCT00950053|December 2008
1611|Withdrawn|Comparison Study of Biofoam Porous Metal Versus Allograft to Treat Adult Acquired Flatfoot||Device:Biofoam;  Other:IliacCrestAllograftwithlockedplate|Interventional|Phase 4|Other / Industry|The degree of correction as measured by talonavicular coverage angle which is used to quantify the degree of deformity. Degree of correction is defined as the difference between the preoperative and postoperative talonavicular coverage angle.;  American Orthopaedic Foot and Ankle Society (AOFAS) Ankle-Hindfoot Score;  FootFunctionIndex(FFI)Score;  PainVisualAnalogScale(VAS);  Implantfailure|0|NCT00949897|March 2009
1612|Completed                  Has Results|Efficacy and Safety of SPARC0912 and Reference0912 in Open Angle Glaucoma or Ocular Hypertension||Drug:SPARC0912;  Drug:Reference0912|Interventional|Phase 3|Industry|Change in Intraocular Pressure From Baseline to Week 12|578|NCT00947661|July 2010
1613|Completed                  Has Results|Evaluation of Safety of SPARC0913 in Open Angle Glaucoma or Ocular Hypertension||Drug:SPARC0913|Interventional|Phase 3|Industry|NumberofSubjectsWithAEs;  Mean Change in IOP From Baseline to Visit 7 (End of Evaluations Visit)|161|NCT00945958|November 2010
1614|Active not recruiting|Single Dose Partial Breast Radiotherapy||Radiation:Radiosurgery|Interventional|Phase 1|Other|MaximumToleratedDose;  Localcontrol;  Cosmeticoutcome;  MagneticResonanceImages(MRI);  Acquiretissue|32|NCT00944528|January 2010
1615|Completed                  Has Results|An Open Label Study to Describe the Pharmacokinetics of Daptomycin in Infants||Drug:Daptomycin|Interventional|Phase 1|Other|PKofDaptomycin;  AdverseEventsWillbeMonitored.|20|NCT00942149|January 2010
1616|Active not recruiting|Stereotactic Body Radiotherapy (SBRT) for Prostate Cancer||Radiation:SBRTProstate|Interventional|Phase 2|Other|Toxicity;  Diseasefreesurvival;  QualityofLife|60|NCT00941915|November 2009
1617|Completed                  Has Results|Evaluate Inflammation Caused by Gingivitis in Adults||Drug:Triclosan/Copolymer/fluoridetoothpaste;  Drug:sodiummonofluorophosphatetoothpaste|Interventional|Phase 4|Industry|Level of Gingival Crevicular Fluid Interleukin - 1 (GCF IL-1) at 2 Hours;  Level of Gingival Crevicular Fluid Interleukin - 6(GCF IL-6) at 2 Hours|49|NCT00941668|January 2007
1618|Completed                  Has Results|Suberoylanilide Hydroxamic Acid (SAHA) Bevacizumab Daily Temozolomide for Recurrent Malignant Gliomas||Drug:Vorinostst/Bevacizumab/Temozolomide|Interventional|Phase 1 / Phase 2|Other / Industry|Phase I: Determination of the Maximum Tolerated Dose (MTD);  PhaseII:6-monthProgression-freeSurvival(PFS);  PhaseII:RadiographicResponse.;  PhaseII:MedianProgression-freeSurvival(PFS);  PhaseII:MedianOverallSurvival(OS);  Phase II: Number of Patients With Grade 2 or Greater Treatment-related Toxicities|48|NCT00939991|October 2009
1619|Completed|Outlook: An Intervention to Improve Quality of Life in Serious Illness||Other:OutlookAttentionControl;  Other:OutlookIntervention|Interventional||Other / NIH|QUAL-E subscale describing preparation for death (Quality of Life at End of Life Steinhauser et al. 2004);  Remaining subscales of the QUAL-E instrument (Quality of Life at End of Life Steinhauser et al. 2004)|154|NCT00939146|February 2010
1620|Completed|Community Based Obesity Prevention Among Blacks||Behavioral:Adaptivesteprecommendation;  Behavioral:10000step/dayrecommendation|Interventional||Other|Adherence to the pedometer-based physical activity regimen;  Changeinphysicalactivity;  ChangeinBMI|50|NCT00939081|May 2010
1621|Completed|Enhanced Self-Efficacy Training||Other:Self-EfficacyTrainingforCaregivers;  Other:ComparisonConditionsforCaregivers|Interventional||Other / NIH|Self-efficacyinsymptommanagement;  Psychologicalwell-being;  Managementofpsychologicaldistress;  QualityofLife|358|NCT00938769|August 2009
1622|Completed|Community Based Obesity Prevention Among Black Women||Behavioral:ObesityPrevention|Interventional||Other|Change in BMI. We have set a target of BMI maintenance among those randomized to the intervention condition.;  Changeinobesityriskbehaviors;  Measuresofbodycomposition;  Psychosocialmediators;  Obesityrelatedbiomarkers|194|NCT00938535|November 2009
1623|Completed|Treatment for Periodontal Disease in Dialysis Patients||Procedure:PeriodontalScalingandRootPlaning|Interventional||Other / Industry|SerumAlbuminIL-6CRP;  HbA1cperiodontalprobing|60|NCT00937976|August 2008
1624|Completed|Treatment of Patients With Nocturia||Drug:SER120;  Drug:Placebo|Interventional|Phase 3|Industry|numberofnocturicepisodes;  proportion of nights with less than or equal to one nocturic episode|301|NCT00937859|June 2009
1625|Completed|Xience V at Wake Forest University Baptist Medical Center (WFUBMC)|||Observational||Other / Industry|Composite of non-fatal myocardial infarction death or stent thrombosis;  Targetlesion/vesselrevascularization|59|NCT00937573|July 2009
1626|Unknown&nbsp;&#8224;|Low Dose Extended-release Epidural and Lumbar Plexus Block Compared to Lumbar Plexus Block for Total Hip Resurfacing||Drug:ExtendedReleaseEpiduralMorphine(EREM);  Drug:Placebo|Interventional||Other / Industry|Lengthofhospitalstayaftersurgery;  Totalopioidconsumption;  Patientsatisfactionscore;  Verbalpainscores;  Distancewalked|60|NCT00934661|January 2010
1627|Completed                  Has Results|Effect of Lucinactant on Mucus Clearance in Cystic Fibrosis Lung Disease||Drug:Lucinactantfirst;  Drug:Placebofirst|Interventional|Phase 2|Other / Industry|ChangeinMucociliaryClearance;  Spirometry|16|NCT00934362|October 2008
1628|Terminated|Functional Imaging of Tumor and Normal Tissue||Procedure:MRIandPETimaging|Observational||Other|Permeability perfusion diffusion and glucose metabolism;  Relationships between baseline and treatment induced changes in vascular permeability perfusion interstitial space glucose metabolism and saliva production to identify prognostic and predictive parameter(s) for treatment|21|NCT00933114|October 2009
1629|Active not recruiting|Determining the Efficacy and Value of Immunotherapy on the Likelihood of Peanut Tolerance: The DEVIL Study||Drug:LowDosePeanutProtein;  Drug:HighDosePeanutProtein|Interventional|Phase 1 / Phase 2|Other|To treat peanut-allergic subjects with PMIT and to determine whether this protocol lowers their risk of anaphylactic reactions and causes long-term tolerance.;  To determine the effect that PMIT has on the peanut-specific cellular and humoral response in peanut-allergic subjects.|60|NCT00932828|June 2009
1630|Completed                  Has Results|Continuous Cardiac Arrhythmia Monitoring in Hemodialysis Patients||Device: continuous cardiac monitoring device (REVEAL Medtronic)|Observational||Other / Industry|Number of Participants With a Significant Arrhythmia Detected;  Number of Participants Experiencing a Peridialytic or Intradialytic Arrhythmias|8|NCT00932659|June 2009
1631|Completed|Tailored Intervention Protocol for Oral Chemotherapy Adherence||Behavioral:NurseCoaching|Interventional||Other / NIH|AdherencetoOralChemotherapyMedication|48|NCT00932490|August 2009
1632|Completed|Peanut Oral Immunotherapy and Anti-Immunoglobulin E (IgE) for Peanut Allergy||Drug:PeanutOralImmunotherapy;  Drug:Omalizumab|Interventional|Phase 1 / Phase 2|Other / Industry|The percentage of subjects who pass the 20gm peanut flour (~50% peanut protein) oral food challenge following the desensitization phase of the study;  Incidence of side effects during initial escalation and build up phase|11|NCT00932282|July 2009
1633|Completed|UCAN: Uniting Couples in the Treatment of Anorexia Nervosa||Behavioral:CBCT;  Behavioral:FamilySupportiveTherapy|Interventional||Other / NIH|Eatingdisorderbehavior;  CoupleSatisfaction|40|NCT00928109|April 2008
1634|Not yet recruiting|Evaluation of a Nasal Allergen Challenge Procedure Using Dust Mite Extract||Biological:dustmiteinhalation|Interventional|Phase 1|Other / NIH|Successful nasal allergen challenge without serious adverse event.;  analyze and compare cells of the airway and serum for a variety of inflammatory markers relevant to innate immunity.|15|NCT00927329|October 2016
1635|Completed                  Has Results|Continuous Oral Contraceptive Treatment in Premenstrual Dysphoric Disorder (PMDD)||Drug:ContinuousOC(EE/DROS);  Drug:IntermittentOC(EE/DROS);  Drug:placebo|Interventional|Phase 4|Other / NIH|Pre-PostChangeinPremenstrualSymptomSeverity|67|NCT00927095|July 2008
1636|Completed|The Use of a Language Toolkit for Toddlers||Behavioral:Languagetoolkit;  Behavioral:Safetycounseling|Interventional||Other|Language/Wordsacquisition|40|NCT00926510|August 2009
1637|Completed|Improving Representative Payeeship for People With Psychiatric Disabilities and Their Families||Behavioral: Steps for Achieving Financial Empowerment (SAFE)|Interventional||Other / U.S. Fed|employment;  empowerment;  familysupport|303|NCT00924976|May 2008
1638|Completed|A Study of Inhalation of 20000 EU CCRE and Mucociliary Clearance (MCC) in Otherwise Healthy Individuals Who Are Current Cigarette Smokers||Biological:20KEUCCRE|Interventional|Phase 1|Other|Increaseinsputumneutrophils;  Mucociliaryclearancerates|12|NCT00924768|May 2009
1639|Completed|Colon Cancer Prevention Study||Other:BehavioralMessages;  Other:GenericMessages|Interventional||Other|Elaboration using the Elaboration Likelihood Scale;  Behavioral Intention to Engage in Colorectal Cancer Screening or Physical Activity|207|NCT00924690|June 2009
1640|Active not recruiting|Esophageal Sparing Intensity-modulated Radiation Therapy (IMRT) for Locally-Advanced Thoracic Malignancies||Radiation:EsophagealsparingIMRT|Interventional|Phase 1|Other|Maximumtolerateddose(MTD)ofIMRT;  TheoccurrenceofRT-inducedacuteesophagitis;  To determine if biological predictors of esophagitis can identify patients who develop severe esophageal toxicity during radiation therapy|25|NCT00921739|August 2009
1641|Completed                  Has Results|Safety and Efficacy Study to Compare Continuous Infusion of Interferon With Standard of Care for Chronic Hepatitis C||Drug:interferonalfa-2b;  Drug:peginterferonalfa-2b;  Drug:ribavirinUSP;  Device:externaldruginfusionpump|Interventional|Phase 2|Industry|Viral Load: Incidence of Sustained Virologic Response (SVR);  Safety/Tolerability;  RapidVirologicResponse(RVR);  EarlyVirologicResponse(EVR);  End-of-treatmentResponse(EOT);  Pharmacokinetics;  Pharmacodynamics;  Functional Health Depression Score and Fatigue Level;  ViralDecay|116|NCT00919633|June 2009
1642|Completed|Preventing Postpartum Return to Smoking||Behavioral:TailoredCounselingInterventionArm|Interventional||Other / NIH|To assess the efficacy of an intervention in preventing or delaying postpartum smoking resumption among women who stop smoking during pregnancy.;  To determine the association of baseline risk assessment variables with time to resumption.|386|NCT00917943|April 2008
1643|Unknown&nbsp;&#8224;|Neuradiab&#174; Combined With Bevacizumab (Avastin) Therapy in Patients With Recurrent Glioblastoma Multiforme||Drug: Neuradiab in combination with Bevacizumab (Avastin)|Interventional|Phase 2|Industry|The safety of Neuradiab&#174; when followed by Avastin therapy will be assessed based on Investigator reported symptomatic toxicity findings on physical exam and Adverse Events.;  Overall survival (OS). Data will be reported based on a dataset of 60 patients.;  Time to progression (TTP). Data will be reported based on a dataset of 60 patients.|60|NCT00906516|May 2009
1644|Completed                  Has Results|Optima: Optimizing Prograf Therapy in Maintenance Allografts II||Drug:cyclosporine;  Drug:Prograf(Tacrolimus)|Interventional|Phase 4|Other / Industry|Renal Function in Patients Converted From Cyclosporine to Prograf;  Optimal Dose/Blood Level of Prograf in Long-term Maintenance Kidney Transplant Patients;  Change in Risk Factors for Cardiovascular Morbidity and Chronic Graft Dysfunction as Evidenced by Blood Levels of Homocysteine and Transforming Growth Factor Beta (TGF-B)|63|NCT00905515|August 2003
1645|Completed|Impact of Myfortic on Gastrointestinal (GI) Prophylaxis in Maintenance Renal Transplant Patients||Drug:GImedication|Interventional|Phase 4|Other / Industry|To determine the success (% of patients) in discontinuing GI medications over the 90-day period or also % of patients able to maintain reduced doses of GI medications over the 90-day period.;  To evaluate the cost effectiveness of discontinuing GI medications in transplant recipients.|61|NCT00905242|March 2006
1646|Recruiting|Oral Metolazone and Intermittent Intravenous Furosemide Versus Continuous Infusion Furosemide in Acute Heart Failure||Drug: Intravenous Bolus Furosemide and Oral Metolazone;  Drug:IntravenousContinuousInfusionFurosemide|Interventional|Phase 4|Other|Dailynetfluidoutput;  PatientGlobalAssessmentScale;  Daily urine output (mL urine out per mg furosemide received);  Need for additional or alternative diuretic (crossover) or IV vasoactive therapy (study failure);  Death rehospitalization and unscheduled visit for HF to an emergency department or outpatient clinic;  Critically low potassium (&lt; 3.5 mmol/L) and magnesium (&lt; 1.6 mg/dL) concentrations;  Changeinbloodureanitrogenorcreatinine;  Number of hypotensive episodes defined as systolic blood pressure below 85 mmHg or greater than 10 mmHg below baseline (whichever is greater);  Total number of times antihypertensive doses are held due to low blood pressure|160|NCT00904488|October 2008
1647|Completed|Genotype-Guided Warfarin Therapy Trial||Other:Genotype-guideddosedetermination;  Other:Non-genotypeguidedwarfarindosing|Interventional||Other|Timeintherapeuticrange(TTR);  Numberofanticoagulationvisits;  ProportionofINRs&gt;4;  Majorbleedingevents;  Minorbleedingevents;  Thromboemboliccomplications;  All-causemortality;  Timetotherapeuticdose;  Emergencydepartmentvisits;  Hospitalizations;  Costsandcost-effectiveness|109|NCT00904293|August 2008
1648|Completed|Mucus Dehydration and Evolution of Chronic Obstructive Pulmonary Disease (COPD) Lung Disease||Other:7%hypertonicsaline|Observational||Other / NIH|Mucociliaryclearanceofinhaledtc99m;  Identification of bacterial and viral communities in mucus samples; analysis of biochemical and biophysical properties of mucus|100|NCT00903955|September 2006
1649|Completed|Effect of Antipsychotics on Appetite Regulation|||Observational||Other / NIH|ghrelinareaunderthecurve;  PYYareaunderthecurve;  glucoseareaunderthecurve;  insulinareaunderthecurve;  bodycomposition;  subjectiveappetiteratings|45|NCT00903916|August 2007
1650|Completed|Evaluating the Effect of Mucinex&#174; 1200 mg on Mucociliary and Cough Clearance From the Human Lung||Drug:Mucinex1200mg;  Drug:Placebo|Interventional|Phase 1|Other / Industry|Difference between drug and placebo in the percentage of particles cleared from the lung.;  Difference between drug and placebo as an estimate of small airway clearance.;  Difference between drug and placebo between study days.;  Blood will be drawn to determination of guaifenesin in the serum.|12|NCT00902707|May 2009
1651|Completed                  Has Results|A Controlled Laboratory Study of the Effects on Cue-Induced Craving in Dependent Smokers||Device:ActiverTMSCondition;  Device:rTMSLocationControlCondition;  Device:rTMSFrequencyControlCondition|Interventional|Phase 2|Other|Change in Craving for Cigarettes After Smoking Cues Versus Neutral Cues Using a Repeated Measure Design.;  Change in Craving for Cigarettes After Controlled Smoke Presentations.|21|NCT00901459|May 2009
1652|Completed                  Has Results|Study of Plerixafor for Rescue of Poor Mobilizers in Autologous Stem Cell Transplant||Drug:G-CSFplusPlerixafor|Interventional|Phase 2|Other / Industry|Number of Participants Who Achieved &gt; or Equal to 2 X 10(6)CD34+ Cells/kg Within 3 Days of Apheresis After Receiving Plerixafor With G-CSF.;  Number of Participants Experiencing a Grade III/IV Toxicity;  NumberofSubjectsExperiencingGraftFailure;  DaystoAbsoluteNeutrophilCount&gt;500;  Number of Subjects Experiencing Durability of Engraftment;  PlateletEngraftment|21|NCT00901225|May 2009
1653|Completed                  Has Results|Intravenous Palonosetron With Radiotherapy and Concomitant Temozolomide||Drug:Palonosetron(PALO)|Interventional|Phase 2|Other / Industry / NIH|Safety and Tolerability of Palonosetron as Determined by the Number of Participants Who Experience Unacceptable Toxicity;  CompleteResponse;  Change in the Functional Living Index - Emesis (FLIE) Score From Baseline to Each Week of Radiation (XRT) and Temozolomide (TMZ) Treatment;  Percentage of Participants With a Osoba Nausea Module Maximum Standardized Score of Zero for Each Week of Radiation (XRT) and Temozolomide (TMZ);  Percentage of Participants With a Osoba Vomiting/Retching Module Maximum Standardized Score of Zero for Each Week of Radiation (XRT) and Temozolomide (TMZ)|57|NCT00900757|August 2009
1654|Recruiting|Cervical Cancer Detection Using Optical Spectroscopy||Device:OpticalSpectroscopyBench-TopSystem;  Device:PortableOpticalSpectrometer;  Device:Transvaginalcolposcope|Interventional||Other|Identification of optical signatures of cervical tissue|310|NCT00900575|May 2006
1655|Withdrawn|Antibiotic Therapy After Incision and Drainage for Abscess||Procedure:Incisionanddrainage;  Drug:Trimethoprim/Sulfamethoxazole(Bactrim);  Drug:Placebo|Interventional||Other|Resolutionofabscess|0|NCT00900510|May 2009
1656|Recruiting|Collection and Storage of Tissue Samples From Patients Undergoing Surgery For Suspected Solid Tumors||Other:biologicsamplepreservationprocedure;  Other:medicalchartreview|Observational||Other / NIH|Tissue and cell repository for Wake Forest University Comprehensive Cancer Center investigators|2500|NCT00900471|May 2004
1657|Completed|Biomarkers in Patients With Kidney Cancer or Cancer of the Urothelium and in Healthy Participants||Other:immunologictechnique;  Other:laboratorybiomarkeranalysis;  Other:massspectrometry|Observational||Other / NIH|Presence of bone morphogenetic protein antagonist regulated in cancer (BARC) in urine and serum samples;  BARCexpressionlevels;  Correlation of changes in serum markers of iron metabolism with changes in BARC expression;  Feasibility of an enzyme-linked immunosorbent assay to detect BARC levels as a diagnostic procedure|40|NCT00900276|June 2006
1658|Terminated|TC-5214 as Augmentation Therapy in Patients With Refractory Hypertension||Drug:Placebo;  Drug:TC-5214|Interventional|Phase 1 / Phase 2|Industry|Mean difference between TC-5214 and placebo in change at 3 hours from baseline SBP;  Safety and tolerability of TC-5214 in patients with refractory hypertension and obtain preliminary dose-response estimates|1|NCT00899977|May 2009
1659|Terminated|Gene Expression in Normal Tissue and Tumor Tissue From Patients Who Have Undergone Surgery For Kidney Cancer|||Observational||Other / NIH|Expression levels of novel genes and proteins (HFARP HAMGR28 HE9NG77) in frozen normal tissue and tumor tissue;  Correlation of gene and protein expression levels with disease stage tumor size and pathology reports;  Comparison of proteomic screening of potential biomarkers using plasma and/or urine samples from patients with renal cell cancer or breast cancer stored in the CCCWFU Tumor Tissue Core with tissue samples from patients enrolled in this study|30|NCT00899860|September 2003
1660|Active not recruiting|Laboratory Assay in Determining Cancer Resistance in Patients With Metastatic Cancer and in Healthy Participants||Other:immunologicaldiagnosticmethod;  Other:physiologictesting|Observational||Other / NIH|Cellkillingability(positiveornegative);  Percentageofcellskilled|48|NCT00899496|September 2005
1661|Terminated|Tamoxifen Resistance in Women With Stage I Stage II Stage IIIA or Stage IIIB Breast Cancer||Drug:tamoxifencitrate;  Genetic:geneexpressionanalysis;  Genetic:proteinexpressionanalysis;  Other:immunoenzymetechnique;  Other:laboratorybiomarkeranalysis|Observational||Other / NIH|Evaluation of the mechanisms of tamoxifen citrate (TAM) resistance in breast cancer;  Change in expression levels of protein biomarkers of TAM resistance as measured periodically for 3 years or until relapse whichever comes first;  Retrospective data on the predictive value of resistance-inducing genes|2|NCT00899197|May 2007
1662|Active not recruiting|Prevalence of Sleep Disturbances in Psoriasis|||Observational||Other|Measured prevalence of poor sleep quality in psoriasis subjects as compared to sex- age- and BMI-matched subjects without psoriasis defined as the control population will be assessed by the Pittsburgh Sleep Quality Index (PSQI).;  Measured prevalence of poor sleep quality in control subjects using the PSQI in order to compare against psoriasis subjects.;  Measured prevalence of insomnia in both groups assessed by the Insomnia Severity Index.;  Measured prevalence of hypersomnia in both groups assessed by the Epworth Sleepiness Scale.;  Measured prevalence of pruritus in both groups assessed by Itch Severity Scale (ISS).;  Measured prevalence of depression in both groups assessed by Patient Health Questionnaire (PHQ-9).;  Measure prevalence of sleep disordered breathing in both groups assessed by Snore Outcome Survey (SOS).;  Measured prevalence of pruritus depression and sleep disordered breathing in those with impaired sleep.;  Measured prevalence of depression in subjects with pruritus and sleep-disordered breathing.|80|NCT00895375|October 2009
1663|Completed                  Has Results|Evaluation of a Tailored Smoking Cessation Treatment Algorithm Based on Initial Treatment Response and Genotype||Drug:NicotinePatches;  Drug: Nicotine patches then bupropion &amp; nicotine patches (Pre-Quit);  Drug: Nicotine patches then varenicline (Pre-Quit);  Drug: Nicotine patches then nicotine patches (Pre-Quit);  Drug: Nicotine patches then bupropion &amp; nicotine patches (Post-Quit);  Drug: Nicotine patches then varenicline (Post-Quit);  Drug: Nicotine patches then nicotine patches (Post-Quit)|Interventional|Phase 3|Other / Industry|Continuous 4-week Abstinence From Smoking Between Weeks 8-11 After the Quit Date (Through the End of Treatment);  Abstinence(7Days)at6Months.;  Continuous Abstinence From Smoking at 6 Months Post Quit.|606|NCT00894166|May 2009
1664|Completed|Vaccine Therapy in Treating Patients Undergoing Surgery for Recurrent Glioblastoma Multiforme||Biological:BTSCmRNA-loadedDCs|Interventional|Phase 1|Other / NIH|Feasibilityandsafety;  Humoralandcellularimmuneresponses|50|NCT00890032|September 2009
1665|Completed                  Has Results|Comparing the Effectiveness of New Versus Older Treatments for Attention Deficit Hyperactivity Disorder (The NOTA Study)||Drug:Methylphenidatetransdermalsystem;  Drug:Lisdexamfetaminedimesylate;  Drug: Osmotic-release oral system methylphenidate (OROS MPH);  Drug:Mixedamphetaminesaltsextendedrelease|Interventional|Phase 4|Other / NIH|Dichotomized Clinical Global Impression-Effectiveness (CGI-E) Scale;  Clinical Global Impressions-Improvement (CGI-I) Scale;  Clinical Global Improvements-Acceptability (CGI-A) Scale|228|NCT00889915|April 2009
1666|Completed|Safety/Biomarker Study of CNTO 95 and Avastin in Solid Tumors||Drug:CNTO95andavastin|Interventional|Phase 1|Other / Industry|To define a recommended phase II dose for the combination of CNTO 95 plus bevacizumab in subjects with advanced solid tumors.;  To evaluate dose limiting as well as non-dose limiting toxicities of this combination.;  To explore the effect of the combination versus each agent individually on dermal wound angiogenesis in a skin biopsy the clinical activity of this combination and the association between blood- and urine-based biomarkers and clinical outcome.|13|NCT00888043|March 2009
1667|Completed                  Has Results|Treatment Effects of Escitalopram (Lexapro&#174;) on Generalized Anxiety Disorder in Patients With HIV and AIDS||Drug:Escitalopram|Interventional|Phase 3|Other / Industry|Change From Randomization to End of Treatment in Scores on the Hamilton Anxiety Rating Scale (HAM-A);  Changes From Randomization to End of Treatment in Scores on the Beck Depression Inventory;  Change From Randomization to End of Treatment in Scores for the Clinical Global Impression(CGI-S and CGI-I);  Change From Randomization to End of Treatment for Trail Making Tet (TMT);  Changes From Randomization to End of Treatment in Scores on the Mini Mental State Examination (MMSE);  Changes From Randomization to End of Treatment in Scores on the Sheehan Disability Scores (SDS)|30|NCT00887679|May 2009
1668|Completed|Mindfulness Emotional Well-being and Sleep Quality||Behavioral: Mindfulness-Based Stress Reduction (MBSR)|Interventional||Other / NIH|Mindfulness;  Sleepquality;  Cognitiveperseveration;  Emotionregulation;  Spirituality;  Health-relatedqualityoflife|372|NCT00887614|July 2009
1669|Completed|Spinal Cord Stimulator Implant Study||Behavioral:CopingSkillsTraining;  Behavioral:Education|Interventional||Other|Improvements in pain psychological distress and physical disability;  Patients will learn a repertoire of coping skills which can be applied to other challenges in life.|101|NCT00887419|November 2008
1670|Unknown&nbsp;&#8224;|Metabolics of Roux-en-Y Gastric Bypass (RYGB) With Gastrostomy|||Observational||Other / Industry||120|NCT00887302|May 2009
1671|Unknown&nbsp;&#8224;|The Effect of Gum Chewing on Postoperative Ileus||Device:Motionsicknesswristband;  DietarySupplement:ChewingGum|Interventional|Phase 3|Other|Timetoresolutionofpost-operativeileus.|60|NCT00879294|
1672|Completed|Reliability of Point-of-care INR Measurements in Patients With Antiphospholipid-antibody Syndrome Treated With Warfarin||Device: INR by point-of-care instruments and venopuncture|Observational||Other / Industry||63|NCT00878137|March 2009
1673|Completed|Nurture: A Program for Mothers With Histories of Disordered Eating||Behavioral:NurtureSupportGroupTherapy;  Behavioral:Grouptherapy|Interventional||Other / NIH|Parentingself-efficacy|28|NCT00877994|April 2008
1674|Completed|Sex Differences in Early Brain Development; Brain Development in Turner Syndrome|||Observational||Other / NIH|BrainvolumesonMRI;  BrainvolumesandDTIparameters|295|NCT00877942|October 2006
1675|Completed|Efficacy and Tolerability of Baclofen for Alcohol Dependence||Drug:baclofen;  Drug:placebo;  Behavioral:BRENDAcounseling|Interventional|Phase 2 / Phase 3|Other|%heavydrinkingdays;  %relapse;  %abstinentdays;  depressionsymptoms;  anxietysymptoms|80|NCT00877734|April 2005
1676|Active not recruiting|Prospective Studies of the Pathogenesis of Schizophrenia|||Observational||Other / NIH|magnetic resonance images (structural and functional);  Cognitivedevelopment|600|NCT00877552|August 2002
1677|Unknown&nbsp;&#8224;|Corneal Endothelium Delivery Instrument||Device: EndoSaver&#8482; Corneal Endothelium Delivery Instrument|Interventional|Phase 2|Industry / Other|6-monthpost-operativeendothelialcelldensity;  12-monthpost-operativeendothelialcelldensity|100|NCT00874835|March 2009
1678|Completed                  Has Results|Safety Study of Transvenous Limb Perfusion in Human Muscular Dystrophy||Other: Retrograde high pressure transvenous perfusion with normal saline|Interventional|Phase 1|Other / NIH|MuscleNerveorVascularDamage|16|NCT00873782|March 2009
1679|Completed|Erectile Dysfunction Study||Other:aerobicexercise;  Other:wait-listcontrol|Interventional||Other / NIH|To determine the effects of supervised aerobic exercise training versus usual care on incidence of ED among men undergoing radical prostatectomy for clinically localized prostate cancer.;  To determine the effects of aerobic exercise training versus wait-list control on changes in patient symptoms and the number of men receiving phosphodiesterases type-5 (PDE-5) inhibitor therapy as well as therapy dose.;  To determine the effects of aerobic exercise training versus wait-list control on changes in postulated biologic mechanisms that may underlie the relationship between exercise training and ED.|64|NCT00873665|December 2008
1680|Completed                  Has Results|Perifosine in Relapsed or Refractory Chronic Lymphocytic Leukemia/Small Lymphocytic Lymphoma||Drug:perifosine|Interventional|Phase 2|Other / Industry|OverallResponse;  OverallSurvival;  Event-freeSurvival|16|NCT00873457|August 2009
