id,airline,date,location,rating,cabin,value,recommended,review
10235,Delta Air Lines,12-Aug-13,USA,6,Economy,4,YES,SEA-NRT. First time flying Economy Comfort with Delta. The 747-400 cabin was redone and actually had good sized overhead storage. The added inches between me and front seat made getting in and out easier. Inflight entertainment did not work for the first hour of the flight. Once working the IFE was adequate for a 10 hour flight with lots of music Western and Asian movies and even games. Added recline for the seat made sleeping a little better but still sitting up while sleeping. Food was adequate and a snack was served between meals and you got a hot sandwich before you landed. Flight crew worked together well but did not smile much. Pilot was good and gave us warning to return to seats with turbulence ahead. Overall it was satisfactory with departure and arrival on schedule.
10236,Delta Air Lines,9-Aug-13,USA,0,Economy,1,NO,Direct flight PHL to CVG cancelled automated call just before I was leaving for the airport stating they were rebooking me on a flight leaving 5 hrs later with a layover in NY arriving CVG at 11pm vs my plan of 3.30. Rebooked on a flight through Detroit. Flight leaving PHL was delayed upon arrival in Detroit I sprinted to my gate to find it just closed and they would not open the door the attendant would even try. They said I had been rebooked on a 735 flight. I didn't receive any notification or update on my delta app. Delta service and attitude toward their customers has become worse since they acquired NW.
10237,Delta Air Lines,8-Aug-13,China,9,Economy,5,YES,I flew Delta twice these past 2 months. First flight from Beijing was good. Second flight was from Tokyo Narita arrived early (4 hours before flight) surprised that Delta was open and I could check in straight away without waiting. Staff very competent polite and professional. Flight itself was comfortable and pleasant (little bumpy- however the captain had given an early notice - I appreciate this as I am not a great flyer). I will definitely use Delta again.
10238,Delta Air Lines,8-Aug-13,UK,10,Economy,5,YES,Just returned from Orlando! Flights were all fine food good on transatlantic flights didn't have anything on short hop internal flights so can't comment staff were friendly (even entertaining at times on return flight) in flight entertainment great all had our own TV with loads of choice (it did freeze 2 hours before landing at Heathrow but it was the middle of the night and everyone was sleeping anyway so didn't bother us). We flew LHR- BOS-MCO outbound and MCO-ATL-LHR inbound. The only problem was we were delayed a couple of hours at Boston due to thunder storms delaying incoming plane. But nothing that Delta could help and they kept us well informed. I will definitely use again as nearly half the price of Virgin and BA!
10239,Delta Air Lines,7-Aug-13,USA,8,Business,5,YES,Flew from Cincinnati to Hong Kong and return via JFK. Took an early flight out of Cincinnati to LGA for an early lunch meeting. Aircraft was a tired old CRJ. Full as usual. Delta really needs to upgrade equipment out of CVG. Flight from JFK to Tokyo left on time. Seats were excellent. However service was sub par on this flight and they did not help when my overhead light was stuck on during flight. Very difficult to sleep with the light on. Felt quite weary and tired by the time I got into Hong Kong. Return went very smoothly. Got the upper deck on the 747 to JFK. Was extremely impressed by the level of privacy offered. Service was great and it was possibly the best flight I've had. Naturally flight to Cincinnati was delayed but we made it back relatively on time. Delta is doing a great job of providing lie-flat seats on all its flights to Asia. Will be doing this route again in 2 months via DTW.
10240,Delta Air Lines,5-Aug-13,USA,2,Economy,2,NO,I have tried Delta twice in the past year and will not fly them again. They cancelled a flight which happens in the summer however I just happened to be watching the flight status and caught it. They did not notify me for close to 6 hours. It is not possible to book another flight online. You have to call by the time I got through I could not get on the next flight. Once I did reach a customer service person she was not very pleasant. The other trip I flew with them I had a different problem. I arrived at the airport within an hour of the flight departure. I had to wait in line for a few people in order to check my bag. By the time it was my turn it was less than an hour to flight time and the gate agent would not let me board. She said she could go ahead and send my luggage but not me. This was at small airport. If there was time to get my bag to the plane I don't see why I could not have boarded the commuter flight. I had checked in online but she said I arrived at the airport too late to board. Booked a flight on the spot with another airline the cost was over $1000.
10241,Delta Air Lines,5-Aug-13,USA,5,Economy,5,YES,LAX-HND-LAX. Delta knows to stay competitive with international airliners servicing this route and their economy class service was quite good. There was plenty of leg room on the flight good meals and pleasant service for both legs of the trip. Haneda routes seem to be red-eye and the cabin was comfortable. I don't like flying Delta and would not recommend them for domestic US flights but they do a good job on this particular international route.
10242,Delta Air Lines,31-Jul-13,USA,9,Economy,4,YES,San Diego to Oakland (via Los Angeles) and back a couple of days later. Slight (15 mins) delay in boarding but since there was an hour layover in LAX originally in the schedule we made it to Oakland on time. Coming back I gave myself ample time to check in and the flight was on-time. Seats were comfortable I was on row 10 or 14 CRJ900. My only suggestion is for the flight attendants to get to the beverage service a little bit faster tended to forget what passengers were asking for and had to keep going back to ask them - not efficient. No refreshments on the San Diego to LA part of the flight (short flight) but refreshments are served from Oakland to LA flight. Ground staff and the baggage handlers were nice and friendly. Some delay on getting our hand carried bags when we deplaned.
10243,Delta Air Lines,31-Jul-13,Canada,1,Economy,1,NO,07/19/2013 DL3655 DSM-YVR. Terrible customer service. Our plane broke down and we were put onto another flight. The airline promised a window or aisle seat and I ended up in the middle between 2 large people. There were empty seats all over the plane and nothing was done to make that long flight a pleasant experience.
10244,Delta Air Lines,30-Jul-13,USA,0,Economy,1,NO,Wilmington NC to LaGuardia NY. Received message of cancelled flight 45 minutes before leaving for airport. Rescheduled for flight 3.5 hours later. That flight was then delayed for over 3 hours and eventually cancelled kept saying it was weather related. Booked us for flight at 6 am the next morning started taxiing out and stopped for a 45 minute delay. Finally got to LaGuardia and found that our next flight had been cancelled. Instead of leaving at 9.40am we left at 2.55pm took over 30 hours to finally get to Toronto. The most distressing fact was we were traveling with our elderly parents (78 Years of age) and Delta was unsympathetic and unaccomodating. Hope I never have to fly Delta again.
10245,Delta Air Lines,30-Jul-13,USA,3,Business,1,NO,JFK to Amsterdam Business Class on a tired but refurbished 767. Departure was 45 minutes late and 2 agents at the gate refused to make any announcement as to new departure time. New truly shrunken pods with full-flat seats that are painfully narrow. Tiny old LCD screen. There were four dinner selections and one cold-plate. I was in the 3d row and informed that neither the cold-plate nor 2 out of 4 selections were available really? What I ended up with was a hair above coach and I returned it. Cabin staff was good however. I've flown Delta Biz for years and while never up to the standards of the competition this was really pathetic. If you add the new JFK Delta terminal (a nightmare) and the ticket price there is no reason to fly Delta to Europe.
10246,Delta Air Lines,29-Jul-13,USA,10,Business,5,YES,Flew DTW to LHR and AMS to DTW - Food was plentiful and tasty seats were lay-flat and I slept well for a few hours. I didn't spend much time using the entertainment system so I can't comment on that. Business elite passengers are first-on first-off first to get luggage first in line at customs. No complaints at all. Skylounge at DTW was self-serve and comfortable.
10247,Delta Air Lines,29-Jul-13,USA,8,Economy,4,YES,Our family of six took Delta from Milwaukee to Atlanta. A nice layover let us all eat to prepare for the connection to Montego Bay Jamaica. Everything actually went very smooth at Milwaukee Airport as it always does. No problems with staff baggage or seating. The transfers at Atlanta with timely and easy. The flight and communication with staff was very good. Actually the return was the same. I have nothing to complain about on any of the four flights we took. I would consider them first again. Especially after reading other reviews of many airlines on this site.
10248,US Airways,21-Jun-14,USA,0,Economy,1,NO,I had read horrible reviews about U.S Airways while planning my trip so I specifically went to American Airlines website paid $100 more for my tickets and booked my flight through American Airlines. I received all my email confirmations from American Airlines. When I arrived at the airport I went to American Airlines check in they tell me they don't have that flight. In very small print at the bottom of my confirmation it said U.S. Airways. I went over to the U.S. Airways check in counter to check my bag. I was flying with a firearm so they have to inspect it. My flight was set to leave at 7.45 am. While sitting at the gate waiting you could see they were working on our plane. Then came time to board and they told us it would be just a little while longer. They finally started boarding us at 8.00 am. At 9.00 we were still sitting on the runway waiting on mechanics at 9.30 they deboarded us from the plane and said it would be about 10.30 am before we departed. Sat at the gate area and at 11.30 they cancelled our flight. They gave everyone a card with a phone number to call to get on another flight. I called and got on an 8.45 pm flight that night. I sat at the airport for 16.5 hours waiting for the next flight to leave at 5.30 I got a phone call from U.S Airways saying the flight would be delayed until 9.30 pm. When I got to the gate it was pushed back to 9.50 pm. Finally after much hesitation I had to call and take myself off the flight and find my luggage. When I looked up that flight later it did not actually leave until 10.45 pm. When I went to go claim my luggage after about 30 minutes of not being able to locate it they discovered it was in Phoenix. It apparently made it on an earlier flight that it was not tagged for. I finally got it back at 8.30 pm the following evening.
10249,US Airways,17-Jun-14,USA,1,Economy,1,NO,Some friends and I booked flights from Nashville to St. Thomas. From there we were to take a cab to a ferry to Marina Cay. Lo and behold our flight was delayed due to maintenance. This caused us to miss the last ferry out resulting in a hotel stay in St. Thomas. As if that were not bad enough. one week later on our way back to the US we arrived at the St. Thomas airport three hours early for our flight. None of the kiosks worked to check in and there wasn't a single employee working. Luckily we had so much time. The passengers flying out on an earlier flight had experienced much worse panic when they were unable to check in to their flight that was leaving in less than an hour. Once all eight employees arrived at the same exact time we waited in a ridiculous long line of frustrated people. Happy to finally get to our gate we learned that our flight was delayed due to maintenance again!
10250,US Airways,17-Jun-14,USA,3,Economy,3,NO,Airplane itself seemed newer than the planes I have been on in the past (I usually fly Delta). But after a 10 hour flight from Rome to Charlotte we arrive to find out flight to Tallahassee was cancelled. The customer service person was polite but kept getting distracted as she rebooked us on a Delta flight to get us home 4 hours later than originally planned. Our luggage made it the next day. I started researching and find out that cancelled flights are a frequent problem on US Airways. Don't fly them if you want to get where you are going on time!
10251,US Airways,11-Jun-14,Canada,0,Economy,3,NO,US Airways now stoops to lying. Boarding my flight today I had to sit through the usual nonsense announcements that the flight is fully booked and overhead luggage storage is limited so customers should come up to the podium to check their bags. In the past I have ignored these pleas and I have not had a problem. I never check my baggage if I can help it because the best case is that you waste 30 to 45 minutes at your destination waiting for your bags to come down the carrousel. Worst case the airline loses your baggage or locks it up and leaves for the day because you make the mistake of going to the washroom before going to the carrousel. Today US Airways didn't achieve their quota of checked baggage so they decided to step it up a notch and report that one passenger has already come to the front of the airplane to check his baggage because the overhead storage is completely full so I dutifully went to the podium to check my bag. What do I find when I board the plane? Lots of available overhead storage. I am completely incensed at this behaviour and will not fly US Airways again if I can help it.
10252,US Airways,9-Jun-14,USA,0,Economy,1,NO,We flew Houston-Charlotte-Lisbon (5/24/14). Flight 760 over wasn't too bad food was ok for coach. It was booked for us by Road Scholar as part of our travel package. I didn't have high expectations but it wasn't bad for being economy. The return US 761 (6/2/14) was the trip from hell starting with the oldest 757 I've ever flown. Late leaving Lisbon stupidest security personnel ever encountered. The front economy toilet had been repaired with putty glue you name it didn't work properly. Crew just plain didn't give a flip about passengers or service on board. Luckily both flights were about 50-60% full so you could stretch out. I will avoid this airline like the plague and any variation the merger with AA cooks up - even if I pay extra.
10253,US Airways,6-Jun-14,USA,9,Economy,5,YES,Manchester UK - Philadelphia - New York. Totally satisfied great food modern inflight entertainment crew was nice flight delayed by 90 mins - did not bother me. People at the desk in Philadelphia very helpful. Was worried about this trip after reading only negative reviews but I must say I was very pleased. I fly the US - EU route every month (always a different airline though). I would definitely recommend US Airways.
10254,US Airways,6-Jun-14,USA,0,Economy,2,NO,Never ever use this airline. Took me two days to get from JFK to Oakland instead of the 5-6 hrs it takes normally. Worst flight experience ever.
10255,US Airways,5-Jun-14,USA,1,Economy,2,NO,I was very unhappy with my trip - flights delayed both ways and of course the connecting flight couldn't wait. I made a mad dash across the Charlotte airport from Concourse B to E (or was it the other way round?) to try to catch it though there were less than 5 minutes; I guess I hoped it might be delayed just a little bit too. But no they don't wait. On the way back two days later the Charlotte flight was delayed twice then cancelled so I got a non-stop to Miami at 7 pm rather than my original 12.50 flight. More than 6 extra hours waiting in the airport with nothing offered to make up for it. Oh yes I got switched to American since they're now the same company but US airways personnel couldn't assign my seat and I had to wait until actual boarding to get a back row seat. I think I will avoid this airline in the future if at all possible! In-air personnel were very nice about fixing my drink the way I liked it so I'll rate them higher.
10256,US Airways,4-Jun-14,USA,0,Economy,2,NO,When I was traveling to Phoenix on 5/29/2014 I had purchased a ticket leaving Spokane at 9am in the morning and arriving at 11.30. However when I printed out my boarding pass it now showed that I was to arrive at the airport at 6am and arrive in Phoenix at 9.30am. I was now stuck at the airport for 5 hours! I was not notified of the change as had to scramble to find a new ride to the airport much earlier than I had expected! This is very inconvenient! There was no email or phone call to notify that this had changed. When I departed Phoenix on 6/1/2014 I again got my boarding pass and was told to proceed to gate B10. 10 minutes before my flight should have boarded myself and 5 other passengers were looking for someone at the gate for B10 no one was there! We flagged down another airport worker and were notified that our plane was now going out of gate A3! Again no notification email or update on the US Airways phone app to let us know that the gate had changed. As it was I and the other passengers had to run to make the flight departure at gate A3. I am physically able to do this. I know that an elderly passenger would not have been able to make it as it was quite a distance away in the terminal. This is not acceptable. Any changes and corrections in flight times and gates should be updated by US Airways on the website or an email/phone app should be notified. This should lay solely on US Airways to get this information out. As it stands this was my first and last flight with US Airways and I will go out of my way to NOT fly your airline again. I was not happy with these changes and the inconvenience it provided for me.
10257,US Airways,4-Jun-14,USA,0,Economy,3,NO,"I just came home from a week in Ireland and flew US Air from Shannon to Philadelphia. After spending a week with friendly helpful smiling people in Ireland I encountered the least friendly rudest crew I have ever seen on any flight. The flight wasn't just Americans returning home but Irish people flying to America for maybe the first time. What a terrible impression they must have made! First of all they were a mess - they didn't even appear clean. No one said hello how are you etc. Food service (and the food) was terrible. Two of the women flight attendants were arguing in the aisle over the beverage cart about how to dispose of cans. I asked for a cup of tea with milk and sugar and got one milk. When I asked for another milk you would have thought I asked her for champagne. I swear I saw some of them roll their eyes at people. When we arrived we were welcomed to Philadelphia by ""your Philadelphia-based crew"" - what a bunch of miserable unhappy impolite people. They are all in the wrong profession. On the way off the aircraft no one said goodbye have a nice day or anything. It was my worst flight experience ever. US Airways needs to work on customer service. Another observation was at Philadelphia airport while sitting at the gate for my connecting flight."
10258,US Airways,3-Jun-14,USA,0,Business,0,NO,"What a nightmare. Numerous delays and cancellations both going to and returning from my business destination. Staff rude and unhelpful. Planes dirty. Multiple reports of mechanical difficulties or weather as cause of delays but no other airline seemed to have weather issues. I needed help getting another flight to get home to my son. The attendant at the gate told me to ""Try Delta."" Guess what? I will."
10259,US Airways,3-Jun-14,USA,0,First Class,1,NO,While flight was diverted from PHX to CLT upon arrival in CLT flight was delayed continually while changing gates 3 times - for 5 hours! Finally at 1.30 in the morning they tell us the flight is cancelled because they don't have a Pilot! They left hundreds of people to sleep on the floor of the Charlotte airport. Not even offered a bottle of cold water.
10260,US Airways,3-Jun-14,USA,1,Economy,1,NO,Since February US Air has been an unmitigated disaster. Had 2 early morning flights back to back in Tampa cancelled on 2 brand new Airbus 320. Then a cancelled flight due to a bent fan blade in Ottawa where I then had to spend the night. Ground operations in Charlotte are a joke and even with 2 hr layovers I have had to scramble to make my connections. Then last night in Washington all is good until 30 min before departure then I get the email notice flight is cancelled. Call US Air. Cancellation due to another mechanical issue on a CRJ 200. I then chose to drive the 3 hours home. These US Air personnel are a joke. The passengers are held as hostages with one pack off lies told on top of another. You just hope you show up at your destination the same day you leave.
10261,US Airways,30-May-14,USA,0,Economy,1,NO,Planned family trip to Europe with family fight from Charlotte to London Heathrow (flight 730) on May 15 2014. Flight was delayed 4 times then cancelled at 1 am no hotels in Charlotte due to Nascar race no help from US Air reps actually all rude family had to sleep in airport got $10.00 food voucher that buys a lot in airport. Next morning. Put on flight to LaGuardia almost didn't make because they had our luggage locked up in Charlotte no one there to unlock until flight time very stressful got to LaGuardia had to pay for cab to JFK then wait until 6.30 pm for flight to London. Will avoid at all costs.
10262,US Airways,27-May-14,USA,0,Economy,1,NO,This has been the most stressful trip I have taken. Hearing my flight have been canceled 2 times waiting at the airport for 6 hours and having to wait in lines with 100+ people is the worst thing that has happened in all of my trips I've taken with an airline. I reached my mid-way point in Charlotte North Carolina rushing to my flight that was suppose to take off in 30 minutes. They then announce that the flight has been canceled and that we go visit the service desk. Almost about an hour wait. Once I got to talk to one of the service agents she was really rude and barely communicated with me. She then found me a flight 4 hours from then. The flight attendants then told us to walk to a different gate to a later time to fly to Nashville. I am never going to be looking at US Airlines to fly again.
10263,US Airways,25-May-14,Ireland,3,Economy,3,NO,"Delays on all booked flights. Outward bound - Dublin to Philadelphia Philadelphia to Vegas. Vegas to LA. Baggage did not make the connection from Phil to Vegas. arrived some hours later. Cabin staff were unfriendly and quite rude. From Dublin We were sitting at the back of the plane and there was no selection of meal available and we were told ""thats what you get when you travel at the back"" . I opened my little tub of butter which had been heated to the extent that when I opened it it was in hot liquid and went all over my hand. I said to the stewardess who was passing by who could have brought me a napkin to wipe the liquid off my hands - but she sped by saying ""oh I know that happens"". Only that I had a tray of food on my lap she would have had more to deal with! We were told by cabin crew that all baggage was to be stored in the overhead lockers or underneath the seat in front. This obviously does not apply to cabin staff whose baggage was piled high on the back centre aisle seats of the plane it was not secured in any way. Their baggage was a danger to all the passengers in that area. Maybe the company should practice what they preach and put staff baggage in the hold. Cabin crew were ungroomed in appearance. Homeward bound to Dublin. Flight from Philadelphia to Orlando delayed resulting in us overnighting in Orlando very grateful for the overnight accommodation provided at the Hyatt. Flew to Charlotte the next day for flight to Dublin. Boarding for Dublin at Charlotte was very confused and inefficiently exercised by Gate staff - resulting in delay in take-off. Entertainment delivery was of very poor quality on those flights that had the facility. General impression overall. Very Disappointing."
10264,US Airways,22-May-14,USA,2,Economy,1,NO,This flight was conducted like a zoo. Three women with their children on the flight requested to change their seats. Passengers and the flight attendant tried to comply with their request. Actually they farmed all their kids out and the 3 mothers sat together drinking wine for the whole flight. Their children did not fasten their seat belts until other passengers reminded them too. The plane had to move after attempting to attach the new jetway without success. Nobody instructed the passengers to sit down so people were going to the bathroom children were jumping on the seats and luggage was in the walkway while they moved the plane to a new jetway. The flight attendant was not looking out for anyone's safety. I could not wait to get off this plane!
10265,US Airways,22-May-14,Canada,2,Economy,3,NO,"Terrible. I had two flights which connected in Philadelphia. The first was 5.5 hours long from San Francisco to Philadephia; no entertainment whatsoever no complimentary snacks and extremely uncomfortable seats. The second was from Philadelphia to Toronto; delayed 3 hours due to maintenance all of the food service had closed in that Terminal at 8pm. I had just come off the 5.5 hour flight and was starving. We finally boarded the flight attendant was very rude. I asked if there was any way I could have any nuts or something as I was so hungry he rudely said ""No this is a short flight I'm sure you will survive."" (There was no other food service offered). The flight was only about an hour: they continually shut off all the lights as if people were to sleep and they turn all the fluorescents on again - this happened 5 or 6 times within the hour. I will never fly US Airways again unless they step up their game it was a very unpleasant day."
10266,US Airways,20-May-14,USA,2,Economy,4,NO,"Online reservations and ticketing was fine. Check in fine. Philadelphia terminal a filthy unsanitary mess. Carpet strewn with trash half eaten food and beverages dirty seats burned out light bulbs. Boarding process a shambles. I paid the asking price for my ticket and purchased it long in advance of my flight. I was seated mid cabin on an aisle. There were 5 boarding groups called. How I ended up in the last Group 5 is beyond me. So I ended up stumbling over a planeload of passengers to get to my seat. Inflight I had the audacity to request a second beverage after finishing my first. I had paid for an inflight meal that was loaded with salt and needed a drink. As the flight attendant was passing through the aisle I politely asked for another beverage ""whenever you get the chance I know you're busy"". The reply: ""It won't be any time soon. Water and coffee only"". The same attendant walked past 3 times empty-handed before I asked a second attendant for the beverage. I received no reply and was really certain that I hadn't been heard. A few minutes later the drink arrived which is good and bad. Good: I got my drink. Bad: There seems to be no feeling by the attendants that passenger requests need be acknowledged. I have tired and tried with US Airways. American Airlines hasn't helped them one bit. Perhaps to the contrary. Look elsewhere for your transportation needs if at all possible."
10267,US Airways,20-May-14,UK,7,Economy,4,YES,DUB-PHL-DTW-PHL-DUB on A330-200 & Embraer 175. The aircraft were clean and seemed relatively new. All flights ran early - with the exception on the last one which had a minor 20 minute delay. The US immigration pre-clearance in Dublin was very good. The food was not great but not bad either and the same goes for the inflight service. The wine was unpalatable. IFE on the A330 was great - lots of new films. No IFE on the short flight but this is not expected. All in all - good flights and as expected. Nothing to get excited by. US Airways is not a 4 or 5 star airline but does not seem to claim to be that either. They seem to be on a par with most other North American carriers. I would fly with them again but would prefer to fly BA or Virgin if I had the option.
10268,US Airways,20-May-14,USA,2,Economy,2,NO,I flew US Airways from Honolulu to Phoenix and the service and I wouldn't recommend it to anyone. The staff in Honolulu was fantastic and went out of their way to quickly and efficiently get everyone through check in and onto the flight (there was a huge line at check in). They even checked bags at no cost to help speed along the process. Once on the flight things quickly deteriorated. People were packed in like sardines and we were asked to pay for sleeping packs. With little to no room to move it was a miserable 6 hrs. Once off the flight the customer service representative was incredibly rude when I asked to be placed on a stand by flight leaving sooner to my final destination. I was forcefully educated that just because U.S. Airways and American airways have merged you cannot schedule or a adjust American flights with U.S. Overall this experience was trying given how much I spent on flights. I recommend Southwest for future flights and warn others to keep clear of flying US Airways or American Airlines.
10269,US Airways,12-May-14,USA,1,Premium,1,NO,I cannot begin to tell you how consistently terrible this airline is. I was flying recently from Washington DC to Portland Maine. The pilot came over the loudspeaker and said we were going to set down in Philly. A light was going off that indicated that the door was not shut correctly. So we went into Philly where some of us made other arrangements others had to wait a day. A week later I was flying from Detroit back to Maine and had a 2 hour layover in Philly. I thought that this would be ample time to make my next flight but U.S. Airways missed the connection. When I went to the service counter they said it would be two days before I could get out of Philly. I went to another counter and they said it would be a day before I could get out but that I was on my own for hotel accommodations. Please do yourself a favor and stay away from US Airways.
10270,US Airways,12-May-14,France,5,Economy,1,NO,I was travelling from Paris to Houston for business. As a last minute surprise my company offered to purchase a domestic ticket so that I could see my family in Pennsylvania which I gladly accepted. All in all I flew Paris- Charlotte Charlotte-Houston Houston-Dallas and Dallas-DC. I drove to Pennsylvania from DC. The day before my flight back to Paris I went online to check-in and noticed that I actually had to fly DC-Philly then Philly to Paris so I called US Airways to ask if I could simply check-in in Philly. They replied that this would be a $300 up-charge even though I was asking to eliminate a portion of my journey. I spoke with 3 customer service representatives and they all told me that since a direct flight was more expensive that I would need to pay more to fly less. It makes sense when booking a flight online that a direct journey would be more expensive than a non-direct one but at this point my seat was already reserved. I was told that this was 'impossible' and that if I didn't check-in in DC my whole flight would be cancelled. What I understood was that the customer service department is simply unwilling to help their guests. I will never fly with this company again.
10271,US Airways,11-May-14,USA,1,Economy,2,NO,This airline is the worst my husband and I have traveled before. He is on a business trip and since the beginning they are delaying and delaying the trips. All his flights had been delayed going in and out of Memphis. He couldn't get back today because his flight was so delayed that he lost the connection with another 12 persons. It took them 2 hours to schedule another flight for the next morning and instead of giving him his original flight to Harrisburg they sent him to Chicago to guess what delayed the flight again because they change planes for mechanical problems. They don't respect the schedules.
10272,US Airways,9-May-14,USA,8,Economy,4,YES,April 24th red eye from SAN-MSP via PHX. Little to complain about flight-wise were pretty close to being on time and no issues in-flight. Got the dreaded ZONE 5 for our boarding pass and my wife was nervous about having to gate check her carry-on (the last thing you want to do after a red eye flight is wait around at the airport for baggage) but there ended up being plenty of room.
10273,US Airways,8-May-14,USA,8,Economy,5,YES,Traveled several times over last 5 weeks with this airline. No major gripes with any flight. Most recent trip CLT to LaGuardia Flight 2064 May 1 and return Flight 1851 May 4. Delays first trip which could not be helped due to problems in NY. Captain very informative of what was happening. Friendly crew. Trip back no delays. Informative Captain and very friendly crew. Only gripe CLT check in staff need to up their game a lot. New York staff very helpful and friendly.
10274,US Airways,6-May-14,UK,0,Economy,3,NO,Flying from London Heathrow to San Diego via Philadelphia. On check in was informed of slight delay but told to go through anyway. Once through security clearance boards showed 7 hours delay on flight. I went to Customer service desk to ask what would happen about connections or overnight accommodation at Philadelphia as it seemed likely that I'd miss any connections that day. Customer service agent told me they had no idea when the flight would actually leave but that of course they'd honour the connection as it wasn't my fault and that it would all be worked out once we were airborne. She could tell me nothing because she had no information at all. So I decided to make use of the otherwise wasted time working on my PC in the executive lounge. About 2 hours later the flight disappeared from the display boards. I went back to the customer service desk to find it closed! There was a sign giving a phone number to call - which I did the person on the other end told me she couldn't book me on to any alternative flights - somehow I was too late in the queue and all available seats had already been allocated and she expected me to be pleased with the fact that she'd booked me onto the following days flight 24 hours later. No offer of overnight accommodation or transport back home overnight. When I asked about my bags she told me to ask at the ticket desk the other side of security (ie landside rather than airside). So I exited the departures area back to the check-in area only to find the customer service desk closed with a sign up saying anyone affected by the flight cancellation should call the number I'd already been talking to. On checking in again the following day there was no hint of any apology for the disruption. I asked about getting an upgrade by way of compensation and was told that was not permissible - though I could ask at the ticket desk (though by that time I had already been allocated a seat). This was the first time I had tried US Airways and looks like being my last.
10275,US Airways,2-May-14,USA,0,Economy,1,NO,I've flown twice in the last month with US Airways and I have to say never again. Their customer service is terrible. Every flight was late. No explanation. On my most recent flight from Washington to Portland Maine I missed a connection. My layover was 2 hours long so I thought there would be no problem. But after a delay following a delay following a delay I missed my connection. The first thing the US Airways representative told me and he was a manager was that I should fly Delta. A couple of weeks earlier I was flying from Washington to Portland and we had to set down in Philadelphia because the captain told us the door wasn't shut properly. Now I know there are a lot of jobs to do before flight can take off but I think shutting the door properly should be in the top two or three on the list. The mix of arrogance in this organization baffles me.
10276,US Airways,30-Apr-14,USA,0,Economy,1,NO,Connecting flight out of Charlotte supposed to take off at 10.11pm delayed until 11.30 due to no crew - get boarded only to have to defuel for over an hour. Then the mechanical problems started for another 2 hours so 3 hours sitting in the plane at the gate - only to get deboarded. It is now 3am no explanations no water no snacks. Get reboarded at 4.30am - sit for another hour - get deboarded yet again! They say they have until 10am to cancel the flight. If they don't cancel you will pay for any other flights. There aren't any flights until the day after tomorrow no hotels either. Airport/airplane for 10.5 hours past original flight time. Instead of being apologetic and nice they acted like they were doing us all a favor by letting us sit in our seats. Another US air flight was cancelled earlier in the evening due to mechanical issues as well - guess they were tired of dealing with us.
10277,US Airways,29-Apr-14,USA,0,Economy,3,NO,CLT-HAM. We take this trip every 2 years. I will never fly US Airways again! My story is very similar to everyone else's. They cancelled my first flight delaying our arrival by 1 day. We couldn't leave from our original location told to drive 3 hrs to Charlotte. Then they overbooked our rescheduled flight. They seated my family (children) in all different areas of the plane. They had no vegetarian options for one of us therefore she was starving on a 8 hour flight. They made an error on our return flight. Lost our luggage. Directed us to the wrong gate in PHL. When we arrived at the correct gate the attendant would not let us on the plane and she refused to help rebook our flight. We had been traveling for more than 20 hrs.
10278,US Airways,28-Apr-14,UK,0,Economy,1,NO,12 April 2014 Departed LHR flight no 729. Flight was 1 hour late taking off due to aircraft not being ready for passenger seating cleaning and food availability. Inflight entertainment was average seating as expected for economy class food was satisfactory but as a vegetarian I do not find it acceptable that the airline had run out of vegetarian options. I then had to wait a while for a vegetarian option to arrive. Landing was smooth arriving an hour later than scheduled meant there was not enough time to complete customs and security checks. Upon arriving at customs we were greeted by a spiralling queue of extremely anxious passengers customs were unable to manage the large quantity of passengers this resulted in us waiting for more than 1 hour no provision made for late arriving passengers to be fast tracked through customs to allow us to board our connecting flight. We were reassured that the flight would not take off without us. We ran to the gate displayed on the departures board and when we arrived at our gate we were disappointed to find that the flight had taken off without us. We waited to speak to a customer service representative for over 2 hours. We asked to be put on the next available flight and got no response was booked onto 10am flight the next morning. I asked where we would stay for the next 12 hours staff member shrugged. We walked away from customer services feeling so disappointed. We spent the night in the airport. Decided to approach customer service again totally different attitude and approach. Given a freshen up bag put us on standby for the 6am flight to Orlando. We arrived at the gate patiently and we were lucky to be boarded on this flight. Finally arrived at our destination 12 hours later. Luckily our baggage was waiting in the bag claim office. I would never fly with this airline again.
10279,US Airways,28-Apr-14,USA,1,Economy,1,NO,"My husband and I were on our first day of our honeymoon traveling to Cancun. We boarded the flight in Charlotte NC to leave at 1.20. We sat there on the plane in separate areas from 1.20 until 3.30 waiting for the numerous ""15"" minutes of repairs they had to do. After finally waiting over 2 hours they started taking the luggage off without informing the attendees the flight was going to be cancelled. We waited another 15 minutes or so and they announced the flight was cancelled. We waited about 40 minutes in a long line waiting to catch another flight which they couldn't get us out until the next day in the middle of the day and we had to go back through security. So not only are we paying for a day of our all inclusive resort that we will not be at but now have to pay for food and everything. This was supposed to be the best day going on my honeymoon but it has been a nightmare."
